Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Date added / updated,Logo Image,Target locations hide,Regions,Regions 2,Sector,Units (min),Units (max),Contact,Phone,Website,email,Recent planning application,Application 1 - Link to planning application,Application 1 - LPA of the application,Application 1 - no. of dwellings,Applicattion 1 - Date,Contact linkedin,Link to recent planning applications
Catesby Estates,catesby-estates,63c82b7a254c065170a9ee94,66604dd99efb3cc963cdd993,Wed Jun 05 2024 11:36:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Fri Feb 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd99efb3cc963cdd98d_65e9a3096843cdb4c0d918b5_65d8bc6ea30f8edd938f417e_catesby_estates_logo.jpeg,,"East Anglia, London, Midlands, South East, South West, Wales",east-anglia; london; midlands; south-east; south-west; wales,Residential,50,500,Julian Wilkinson (Area Land Director),,,julian.wilkinson@catesbyestates.co.uk,true,https://pa.blaby.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=S5PAERCYIJB00,Blaby,170,Fri Jan 19 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/julian-wilkinson-04055b21/,https://www.planninglist.co.uk/sectors/residential?*=Catesby
Cavanna Homes,cavanna-homes,63c82b7a254c065170a9ee94,66604dd96612ac68f4b3f4f5,Wed Jun 05 2024 11:36:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd96612ac68f4b3f4c6_65e9a3094bbc68da91d3502d_658179f6e5687e87c5569263_64946857fd41735033654199_Cavanna%25252520Homes%25252520%25252520logo.png,,"South West, South East",south-west; south-east,Residential,30,250,Nicholas Over (Senior Land Manager),1803618688,https://www.cavannahomes.co.uk/land-acquisition/,nover@cavannahomes.co.uk,false,,,,,,
CCG Homes,ccg-homes,63c82b7a254c065170a9ee94,66604dd98cc362bee60a1abf,Wed Jun 05 2024 11:36:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd98cc362bee60a1a86_65e9a30987f10c3019cc0d93_658179f66576707c72068749_64946857fd41735033654192_CCG%25252520Homes%25252520Ltd%25252520Logo.jpeg,Glasgow,Scotland,scotland,Residential,100,250,Chris Murray (Development Manager),,https://ccghomes.co.uk/land/,chrismurray@c-c-g.co.uk,false,,,,,https://www.linkedin.com/in/chris-murray-7545926b/?originalSubdomain=uk,https://www.planninglist.co.uk/sectors/residential?*=CCG+Homes
CG Fry,cg-fry,63c82b7a254c065170a9ee94,66604dd92beed452fd330164,Wed Jun 05 2024 11:36:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd92beed452fd330149_65e9a30a99d486dc0a0f2517_658179f791e45d0bbaddddc0_64946857fd41735033654195_CG%25252520Fry.jpeg,,"South West, Wales",south-west; wales,Residential,25,150,David Lohfink (Land and Planning Director),,https://www.cgfry.co.uk/land-and-planning/,david.lohfink@cgfry.co.uk,false,,,,,https://www.linkedin.com/in/david-lohfink-a3aa8a51/,https://www.planninglist.co.uk/sectors/residential?*=CG+Fry
Charlcombe Homes,charlcombe-homes,63c82b7a254c065170a9ee94,66604dd952cc655fc2f0255f,Wed Jun 05 2024 11:36:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:57 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd952cc655fc2f02535_65e9a30ad0d882154134e909_658179f75c9948d1886c009a_64946857fd41735033654196_Charlcombe%25252520Homes.png,,South West,south-west,Residential,5,25,Alastair Gibson (MD),,https://www.charlcombehomes.co.uk/land/,ag@charlcombe.com,false,,,,,https://www.linkedin.com/in/alastair-gibson-3b0a2248/,
Charterwood Homes,charterwood-homes,63c82b7a254c065170a9ee94,66604ddb42c4564b25fd6951,Wed Jun 05 2024 11:36:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dda42c4564b25fd68a0_65e9a30a54be6a4766ecb73c_658179f7464f05ecb9e5bd35_64946857fd41735033654191_Charterwood%25252520Homes%25252520logo.png,Sutton,London,london,Residential,5,25,Robert Sutton (Property),,https://www.charterwoodhomes.co.uk/land-needed,enquiries@charterwoodhomes.co.uk,false,,,,,,
Chartway Partnerships Group,chartway-partnerships-group,63c82b7a254c065170a9ee94,66604dda17698ed3d517ba20,Wed Jun 05 2024 11:36:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dd917698ed3d517ba0c_65e9a30a8fd267ed4b9a0e9c_65e999f039c2ad2307a38e0b_Chartway%252520Partnerships%252520Group.jpeg,,South East,south-east,Residential,50,2000,Oliver Jolley (Group Land Director),,https://www.chartwaygroup.co.uk/about-us/land-development/,ojolley@chartwaygroup.co.uk,true,https://pa.midkent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=S5ND6QTYJO000,Midkent,36,Thu Jan 04 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/oliver-jolley-81a88063/,
Chelsteen Homes,chelsteen-homes,63c82b7a254c065170a9ee94,66604ddc42c4564b25fd6ce9,Wed Jun 05 2024 11:37:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604ddb42c4564b25fd6974_65e9a30abb348ed9c44acb48_658179f810027173faabc015_64946857fd41735033654190_Chelsteen%25252520Homes%25252520logo.jpeg,Braintree,South East,south-east,Residential,5,25,Bill Poulton (Director),01245 230927,https://www.chelsteen.co.uk/land-owners/,bill@chelsteen.co.uk,false,,,,,,
Chesterman Homes,chesterman-homes,63c82b7a254c065170a9ee94,66604ddac8f1e85c11898b29,Wed Jun 05 2024 11:36:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604ddac8f1e85c11898b23_65e9a30aa6b6449e81401e75_658179f8f733d55be9560a8a_64946857fd4173503365418f_Chesterman%25252520Homes%25252520logo.jpeg,,South East,south-east,Residential,5,15,Sven Chesters (Director),,https://chestermanhomes.co.uk/land-wanted/,land@chestermanhomes.co.uk,false,,,,,https://www.linkedin.com/in/sven-chesters-219a5bb1/,
Chestnut Homes,chestnut-homes,63c82b7a254c065170a9ee94,66604dda8bcce34c9440bf0f,Wed Jun 05 2024 11:36:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dda8bcce34c9440befb_65e9a30aad08de3c0da3afeb_658179f8ea74e8b64e6b6585_64946857fd41735033654194_Chestnut%25252520Homes%25252520Logo.png,,Midlands,midlands,Residential,5,10,Neil Kempster (Land Director),01522 595302,https://www.chestnuthomes.co.uk/about-us/land-required/,neil.kempster@chestnuthomes.co.uk,false,,,,,https://www.linkedin.com/in/neil-kempster-mrics-332b692b/,https://planninglist.co.uk/sectors/residential?*=Chestnut
Chevin Homes,chevin-homes,63c82b7a254c065170a9ee94,66604ddb1aa4542a2b4ccb05,Wed Jun 05 2024 11:36:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dda1aa4542a2b4ccae9_65e9a30a263a7675fcbf18de_658179f938523e75125ee911_64946857fd4173503365418d_Chevin%25252520Homes%25252520logo.jpeg,,Midlands,midlands,Residential,5,15,James Cokayne (Director),,https://ssassyproperty.com/land-wanted/,james@chevinhomes.com,false,,,,,https://www.linkedin.com/in/james-cokayne-bb91b363/,https://www.planninglist.co.uk/sectors/residential?*=Chevin+Homes
Churchgate Premier Homes,churchgate-premier-homes,63c82b7a254c065170a9ee94,66604ddafb73bf23d64a5e0f,Wed Jun 05 2024 11:36:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604ddafb73bf23d64a5dce_65e9a30be8d5e8555335041a_658179f9946c0d9e787ecfd2_64946857fd417350336541a9_Churchgate%25252520Premier%25252520Homes.jpeg,Bracknell,South East,south-east,Residential,5,25,Matthew Taylor (Land Director),1628622311,http://www.cphomes.co.uk/land,matt@cphomes.co.uk,false,,,,,https://www.linkedin.com/in/matt-taylor-mrtpi-91937072/,
Churchill Retirement,churchill-retirement,63c82b7a254c065170a9ee94,66604dda1e5541b72e81c794,Wed Jun 05 2024 11:36:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Thu Mar 07 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dda1e5541b72e81c78a_65e9a30a7b17a92daebcbf72_65e99bcf481e145dc37ada89_Churchill%252520Retirement.jpeg,,UK,east-anglia; london; midlands; north-east; north-west; scotland,Care; Residential,25,100,Land Team,,https://www.churchillretirement.co.uk/land/,seekingland@crl.co.uk,true,https://pa.oadby-wigston.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=S57EO8MB0E500,Oadby,33,Wed Jan 17 2024 00:00:00 GMT+0000 (Coordinated Universal Time),,https://www.planninglist.co.uk/sectors/residential?*=churchill
City & Country,city-country,63c82b7a254c065170a9ee94,66604dda8bcce34c9440bf4e,Wed Jun 05 2024 11:36:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:58 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604dda8bcce34c9440bf40_65e9a30be05ab5c325d34def_658179fb4b431bddbc677cdb_64946857fd4173503365418e_City%25252520%25252526%25252520Country.jpeg,,"London, Midlands, North East, North West, Scotland, South East, South West, Wales",london; midlands; north-east; north-west; scotland; south-east; south-west; wales,Residential,50,250,Simon Marner (Land & Property Director),,https://www.cityandcountry.co.uk/about-us/our-developments/,Simon.Marner@cityandcountry.co.uk,false,,,,,https://www.linkedin.com/in/simon-marner-14919225/,https://www.planninglist.co.uk/sectors/residential?*=City+%26+Country
City Court Developments,city-court-developments,63c82b7a254c065170a9ee94,66604ddb5a35fe8c02da2bc2,Wed Jun 05 2024 11:36:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604ddb5a35fe8c02da2bbc_66604380f45919644a50a1f6_Screenshot%25202024-06-05%2520at%252011.52.44.png,,UK,east-anglia; london; midlands; north-east; north-west; scotland; south-east; south-west; wales,Retail,,,Nigel James (Owner),,https://www.citycourtdevelopments.co.uk/,nigel@citycourtdevelopments.co.uk,true,https://publicaccess.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=SAEBH7FZLA800,Dover,,Fri Mar 29 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/nigel-james-4b441817/,
Clarendon Homes,clarendon-homes,63c82b7a254c065170a9ee94,66604ddbcdccd39c1668960f,Wed Jun 05 2024 11:36:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604ddbcdccd39c166895d6_65e9a30bcccd151806bc36af_658179f979f8f1f21ba00a05_64946857fd417350336541aa_Clarendon%25252520Homes.jpeg,"TunbridgeWells, Ashford",South East,south-east,Residential,5,50,,01622 858660,https://www.clarendonhomes.co.uk/about-us/land-requirements/,info@clarendonhomes.co.uk,false,,,,,,https://www.planninglist.co.uk/sectors/residential?*=Clarendon+Homes
Clayewater Homes,clayewater-homes,63c82b7a254c065170a9ee94,66604df1c5ec9df7169f498e,Wed Jun 05 2024 11:37:21 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:21 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df1c5ec9df7169f4927_65e9a30b450c282ca84da1cc_658179f9e5687e87c556932c_64946857fd41735033654193_Clayewater%25252520Homes%25252520logo.jpeg,Bristol,South West,south-west,Residential,10,,Paul Madge (Land Director),,https://www.clayewatertimberframes.co.uk/land-owners/,,false,,,,,https://www.linkedin.com/in/paul-madge-17076395/,
Claymore Homes,claymore-homes,63c82b7a254c065170a9ee94,66604ddb196d6207729a43f5,Wed Jun 05 2024 11:36:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604ddb196d6207729a43ed_65e9a30be2c533f20237f3fc_658179fa561f8f93c3fd582e_64946857fd417350336541a3_Claymore%25252520Homes.jpeg,,Scotland,scotland,Residential,5,50,Colin Anthony Commercial Director),,https://www.claymorehomes.co.uk/developments,info@claymorehomes.co.uk,false,,,,,https://www.linkedin.com/in/colin-anthony-730b2057/,https://www.planninglist.co.uk/sectors/residential?*=Claymore+Homes
Clayson Country Homes,clayson-country-homes,63c82b7a254c065170a9ee94,66604ddbe6172bc0dc3208cb,Wed Jun 05 2024 11:36:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:36:59 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604ddbe6172bc0dc3208bc_65e9a30ba4d192df0a1efa70_658179fb91e45d0bbadde069_64946857fd4173503365418c_Clayson%25252520Country%25252520Homes%25252520Ltd.png,Northampton,Midlands,midlands,Residential,10,50,Colin Clayson (Director),,https://claysongroup.com/,Colin@claysongroup.com,false,,,,,https://www.linkedin.com/in/colin-clayson-9a9820137/,https://www.planninglist.co.uk/sectors/residential?*=Clayson+Country+Homes
Coates Homes,coates-homes,63c82b7a254c065170a9ee94,66604ddc79566d9f13397dad,Wed Jun 05 2024 11:37:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604ddc79566d9f13397d7d_65e9a30b9703758d4ee4cc27_658179fb60e95fc76e259f35_64946857fd417350336541a1_Coates%25252520Homes%25252520logo.png,Stroud,South West,south-west,Residential,5,15,Lewis Coates (Director),,http://coatesgroupuk.com/coates-homes/,lewis@coatesgroupuk.com,false,,,,,,
Colaren Homes,colaren-homes,63c82b7a254c065170a9ee94,66604ddcdf59732aab470fc6,Wed Jun 05 2024 11:37:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604ddcdf59732aab470fbe_65e9a30c5eafbc8c3440a66b_658179fb8769b1abc5fa1395_64946857fd4173503365418b_Colaren%25252520Homes%25252520logo.jpeg,,"North East, Scotland",north-east; scotland,Residential,10,50,Colin Smith (Managing Director),,https://colarenhomes.co.uk/developments/,sales@colarenhomes.co.uk,false,,,,,https://www.linkedin.com/in/colin-smith-5442b886/,https://www.planninglist.co.uk/sectors/residential?*=Colaren+Homes
Colburn Homes,colburn-homes,63c82b7a254c065170a9ee94,66604ddcf02726c057b93fd0,Wed Jun 05 2024 11:37:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Mon Jan 15 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604ddcf02726c057b93fca_65e9a30c19b2da000e625ba1_658179fb555f4fef9cb691bc_64946857fd4173503365418a_Colburn%25252520Homes.jpeg,ForestOfDean,"South West, Wales",south-west; wales,Residential,5,15,Martin Evans (MD),,https://www.colburn.co.uk/land-acquisition/,Martin.Evans@colburn.co.uk,false,,,,,https://www.linkedin.com/in/martin-evans-81570047/,
Cooper Estates,cooper-estates,63c82b7a254c065170a9ee94,66604ddccdccd39c1668970d,Wed Jun 05 2024 11:37:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:00 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 16 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604ddccdccd39c166896ef_65e9a30c1699e0c717415fe3_658179fc24f3ce9a4a3f0fa1_64946857fd4173503365439b_Cooper%25252520Estates%25252520logo.png,,,east-anglia; north-east; london; northern-ireland; north-west; scotland; south-east; south-west; midlands; wales,,10,100,David Gregory (Investment Director),,https://www.cooperestates.co.uk/,david.gregory@cooperestates.co.uk,false,,,,,https://www.linkedin.com/in/david-gregory-58409056/?originalSubdomain=uk,https://www.planninglist.co.uk/sectors/residential?*=Cooper+Estates
Cotswold Homes,cotswold-homes,63c82b7a254c065170a9ee94,66604ddd89b8adaa4ce43115,Wed Jun 05 2024 11:37:01 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:01 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 16 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604ddd89b8adaa4ce4310d_65e9a30c8c1767c3ea7b1660_658179fc30adff39ca8bc981_64946857fd41735033654189_Cotswold%25252520Homes%25252520logo.png,SouthGloucestershire,"South East, South West",south-east; south-west,Residential,50,200,Liam Rinn (Land Director),01454 335930,https://cotswoldhomes.co.uk/about-us/land-requirements,liam.rinn@cotswoldhomes.co.uk,false,,,,,https://www.linkedin.com/in/liam-rinn-b209b426/,https://www.planninglist.co.uk/sectors/residential?*=Cotswold+Homes
Country Court Care,country-court-care,63c82b7a254c065170a9ee94,66604ddd1aa4542a2b4ccca7,Wed Jun 05 2024 11:37:01 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:01 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Thu Feb 22 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604ddd1aa4542a2b4ccc84_65e9a30c263a7675fcbf19c9_65d7dacadb6720df00c68052_CC.png,,,east-anglia; midlands; north-east; north-west; south-east; south-west; wales,Care,,,Al-karim Kachra (CEO),,https://www.countrycourtcare.co/,alkarim.kachra@countrycourtcare.com,true,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=S641AQMLMS900,Peterborough,,Mon Jan 08 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/al-karim-kachra-08516427/,https://www.planninglist.co.uk/sectors/care?*=Country+Court
